delta_eta_center,delta_phi_center,pair_counts
-1.4589941648167373,0.7417649320975901,256.0
-1.4589941648167373,0.8290313946973065,247.0
-1.4589941648167373,0.9162978572970228,234.0
-1.4589941648167373,1.0035643198967392,243.0
-1.4589941648167373,1.0908307824964556,236.0
-1.4589941648167373,1.178097245096172,244.0
-1.4589941648167373,1.2653637076958888,246.0
-1.4589941648167373,1.3526301702956056,243.0
-1.4589941648167373,1.439896632895322,258.0
-1.4589941648167373,1.5271630954950384,261.0
-1.4589941648167373,1.6144295580947547,275.0
-1.4589941648167373,1.7016960206944711,229.0
-1.4589941648167373,1.7889624832941875,255.0
-1.4589941648167373,1.8762289458939039,246.0
-1.4589941648167373,1.9634954084936203,267.0
-1.4589941648167373,2.050761871093337,248.0
-1.4589941648167373,2.138028333693054,251.0
-1.4589941648167373,2.2252947962927703,262.0
-1.4589941648167373,2.3125612588924866,260.0
-1.4589941648167373,2.399827721492203,229.0
-1.4589941648167373,2.4870941840919194,254.0
-1.4589941648167373,2.574360646691636,260.0
-1.4589941648167373,2.661627109291352,248.0
-1.4589941648167373,2.7488935718910685,278.0
-1.4589941648167373,2.8361600344907854,248.0
-1.4589941648167373,2.923426497090502,246.0
-1.4589941648167373,3.0106929596902186,233.0
-1.4589941648167373,3.097959422289935,271.0
-1.4190257882484931,-3.097959422289935,317.0
-1.4190257882484931,-3.0106929596902186,348.0
-1.4190257882484931,-2.923426497090502,325.0
-1.4190257882484931,-2.8361600344907854,325.0
-1.4190257882484931,-2.748893571891069,333.0
-1.4190257882484931,-2.6616271092913526,297.0
-1.4190257882484931,-2.574360646691636,320.0
-1.4190257882484931,-2.4870941840919194,330.0
-1.4190257882484931,-2.399827721492203,330.0
-1.4190257882484931,-2.3125612588924866,330.0
-1.4190257882484931,-2.2252947962927703,317.0
-1.4190257882484931,-2.138028333693054,306.0
-1.4190257882484931,-2.0507618710933375,333.0
-1.4190257882484931,-1.9634954084936207,318.0
-1.4190257882484931,-1.8762289458939043,328.0
-1.4190257882484931,-1.7889624832941877,322.0
-1.4190257882484931,-1.7016960206944713,329.0
-1.4190257882484931,-1.6144295580947547,293.0
-1.4190257882484931,-1.5271630954950384,326.0
-1.4190257882484931,-1.439896632895322,321.0
-1.4190257882484931,-1.3526301702956054,304.0
-1.4190257882484931,-1.2653637076958888,334.0
-1.4190257882484931,-1.1780972450961724,327.0
-1.4190257882484931,-1.090830782496456,349.0
-1.4190257882484931,-1.0035643198967397,330.0
-1.4190257882484931,-0.9162978572970231,338.0
-1.4190257882484931,-0.8290313946973065,332.0
-1.4190257882484931,-0.7417649320975901,350.0
-1.4190257882484931,-0.6544984694978737,336.0
-1.4190257882484931,-0.5672320068981571,328.0
-1.4190257882484931,-0.4799655442984405,341.0
-1.4190257882484931,-0.39269908169872414,331.0
-1.4190257882484931,-0.30543261909900776,313.0
-1.4190257882484931,-0.21816615649929139,364.0
-1.4190257882484931,-0.1308996938995748,344.0
-1.4190257882484931,-0.04363323129985819,324.0
-1.4190257882484931,0.04363323129985819,324.0
-1.4190257882484931,0.13089969389957457,345.0
-1.4190257882484931,0.21816615649929116,331.0
-1.4190257882484931,0.30543261909900776,332.0
-1.4190257882484931,0.39269908169872414,307.0
-1.4190257882484931,0.4799655442984405,314.0
-1.4190257882484931,0.5672320068981569,339.0
-1.4190257882484931,0.6544984694978735,322.0
-1.4190257882484931,0.7417649320975901,349.0
-1.4190257882484931,0.8290313946973065,336.0
-1.4190257882484931,0.9162978572970228,309.0
-1.4190257882484931,1.0035643198967392,310.0
-1.4190257882484931,1.0908307824964556,300.0
-1.4190257882484931,1.178097245096172,324.0
-1.4190257882484931,1.2653637076958888,296.0
-1.4190257882484931,1.3526301702956056,319.0
-1.4190257882484931,1.439896632895322,321.0
-1.4190257882484931,1.5271630954950384,313.0
-1.4190257882484931,1.6144295580947547,340.0
-1.4190257882484931,1.7016960206944711,294.0
-1.4190257882484931,1.7889624832941875,351.0
-1.4190257882484931,1.8762289458939039,364.0
-1.4190257882484931,1.9634954084936203,365.0
-1.4190257882484931,2.050761871093337,343.0
-1.4190257882484931,2.138028333693054,330.0
-1.4190257882484931,2.2252947962927703,334.0
-1.4190257882484931,2.3125612588924866,309.0
-1.4190257882484931,2.399827721492203,329.0
-1.4190257882484931,2.4870941840919194,355.0
-1.4190257882484931,2.574360646691636,324.0
-1.4190257882484931,2.661627109291352,305.0
-1.4190257882484931,2.7488935718910685,351.0
-1.4190257882484931,2.8361600344907854,302.0
-1.4190257882484931,2.923426497090502,356.0
-1.4190257882484931,3.0106929596902186,351.0
-1.4190257882484931,3.097959422289935,334.0
-1.379057411680249,-3.097959422289935,437.0
-1.379057411680249,-3.0106929596902186,416.0
-1.379057411680249,-2.923426497090502,416.0
-1.379057411680249,-2.8361600344907854,386.0
-1.379057411680249,-2.748893571891069,392.0
-1.379057411680249,-2.6616271092913526,462.0
-1.379057411680249,-2.574360646691636,374.0
-1.379057411680249,-2.4870941840919194,418.0
-1.379057411680249,-2.399827721492203,386.0
-1.379057411680249,-2.3125612588924866,397.0
-1.379057411680249,-2.2252947962927703,406.0
-1.379057411680249,-2.138028333693054,423.0
-1.379057411680249,-2.0507618710933375,410.0
-1.379057411680249,-1.9634954084936207,395.0
-1.379057411680249,-1.8762289458939043,413.0
-1.379057411680249,-1.7889624832941877,409.0
-1.379057411680249,-1.7016960206944713,403.0
-1.379057411680249,-1.6144295580947547,413.0
-1.379057411680249,-1.5271630954950384,383.0
-1.379057411680249,-1.439896632895322,405.0
-1.379057411680249,-1.3526301702956054,406.0
-1.379057411680249,-1.2653637076958888,390.0
-1.379057411680249,-1.1780972450961724,407.0
-1.379057411680249,-1.090830782496456,383.0
-1.379057411680249,-1.0035643198967397,370.0
-1.379057411680249,-0.9162978572970231,417.0
-1.379057411680249,-0.8290313946973065,395.0
-1.379057411680249,-0.7417649320975901,401.0
-1.379057411680249,-0.6544984694978737,390.0
-1.379057411680249,-0.5672320068981571,425.0
-1.379057411680249,-0.4799655442984405,394.0
-1.379057411680249,-0.39269908169872414,372.0
-1.379057411680249,-0.30543261909900776,394.0
-1.379057411680249,-0.21816615649929139,394.0
-1.379057411680249,-0.1308996938995748,401.0
-1.379057411680249,-0.04363323129985819,402.0
-1.379057411680249,0.04363323129985819,357.0
-1.379057411680249,0.13089969389957457,392.0
-1.379057411680249,0.21816615649929116,410.0
-1.379057411680249,0.30543261909900776,405.0
-1.379057411680249,0.39269908169872414,367.0
-1.379057411680249,0.4799655442984405,378.0
-1.379057411680249,0.5672320068981569,392.0
-1.379057411680249,0.6544984694978735,434.0
-1.379057411680249,0.7417649320975901,425.0
-1.379057411680249,0.8290313946973065,390.0
-1.379057411680249,0.9162978572970228,413.0
-1.379057411680249,1.0035643198967392,415.0
-1.379057411680249,1.0908307824964556,404.0
-1.379057411680249,1.178097245096172,368.0
-1.379057411680249,1.2653637076958888,379.0
-1.379057411680249,1.3526301702956056,390.0
-1.379057411680249,1.439896632895322,365.0
-1.379057411680249,1.5271630954950384,428.0
-1.379057411680249,1.6144295580947547,405.0
-1.379057411680249,1.7016960206944711,424.0
-1.379057411680249,1.7889624832941875,411.0
-1.379057411680249,1.8762289458939039,403.0
-1.379057411680249,1.9634954084936203,388.0
-1.379057411680249,2.050761871093337,381.0
-1.379057411680249,2.138028333693054,397.0
-1.379057411680249,2.2252947962927703,397.0
-1.379057411680249,2.3125612588924866,385.0
-1.379057411680249,2.399827721492203,408.0
-1.379057411680249,2.4870941840919194,416.0
-1.379057411680249,2.574360646691636,440.0
-1.379057411680249,2.661627109291352,417.0
-1.379057411680249,2.7488935718910685,429.0
-1.379057411680249,2.8361600344907854,394.0
-1.379057411680249,2.923426497090502,413.0
-1.379057411680249,3.0106929596902186,395.0
-1.379057411680249,3.097959422289935,385.0
-1.3390890351120046,-3.097959422289935,506.0
-1.3390890351120046,-3.0106929596902186,468.0
-1.3390890351120046,-2.923426497090502,468.0
-1.3390890351120046,-2.8361600344907854,466.0
-1.3390890351120046,-2.748893571891069,474.0
-1.3390890351120046,-2.6616271092913526,496.0
-1.3390890351120046,-2.574360646691636,478.0
-1.3390890351120046,-2.4870941840919194,443.0
-1.3390890351120046,-2.399827721492203,464.0
-1.3390890351120046,-2.3125612588924866,475.0
-1.3390890351120046,-2.2252947962927703,513.0
-1.3390890351120046,-2.138028333693054,484.0
-1.3390890351120046,-2.0507618710933375,463.0
-1.3390890351120046,-1.9634954084936207,482.0
-1.3390890351120046,-1.8762289458939043,466.0
-1.3390890351120046,-1.7889624832941877,490.0
-1.3390890351120046,-1.7016960206944713,467.0
-1.3390890351120046,-1.6144295580947547,468.0
-1.3390890351120046,-1.5271630954950384,468.0
-1.3390890351120046,-1.439896632895322,438.0
-1.3390890351120046,-1.3526301702956054,498.0
-1.3390890351120046,-1.2653637076958888,476.0
-1.3390890351120046,-1.1780972450961724,475.0
-1.3390890351120046,-1.090830782496456,461.0
-1.3390890351120046,-1.0035643198967397,443.0
-1.3390890351120046,-0.9162978572970231,482.0
-1.3390890351120046,-0.8290313946973065,465.0
-1.3390890351120046,-0.7417649320975901,452.0
-1.3390890351120046,-0.6544984694978737,448.0
-1.3390890351120046,-0.5672320068981571,491.0
-1.3390890351120046,-0.4799655442984405,461.0
-1.3390890351120046,-0.39269908169872414,446.0
-1.3390890351120046,-0.30543261909900776,492.0
-1.3390890351120046,-0.21816615649929139,518.0
-1.3390890351120046,-0.1308996938995748,487.0
-1.3390890351120046,-0.04363323129985819,501.0
-1.3390890351120046,0.04363323129985819,471.0
-1.3390890351120046,0.13089969389957457,490.0
-1.3390890351120046,0.21816615649929116,447.0
-1.3390890351120046,0.30543261909900776,506.0
-1.3390890351120046,0.39269908169872414,509.0
-1.3390890351120046,0.4799655442984405,462.0
-1.3390890351120046,0.5672320068981569,461.0
-1.3390890351120046,0.6544984694978735,460.0
-1.3390890351120046,0.7417649320975901,433.0
-1.3390890351120046,0.8290313946973065,429.0
-1.3390890351120046,0.9162978572970228,467.0
-1.3390890351120046,1.0035643198967392,487.0
-1.3390890351120046,1.0908307824964556,475.0
-1.3390890351120046,1.178097245096172,460.0
-1.3390890351120046,1.2653637076958888,506.0
-1.3390890351120046,1.3526301702956056,433.0
-1.3390890351120046,1.439896632895322,497.0
-1.3390890351120046,1.5271630954950384,471.0
-1.3390890351120046,1.6144295580947547,480.0
-1.3390890351120046,1.7016960206944711,516.0
-1.3390890351120046,1.7889624832941875,516.0
-1.3390890351120046,1.8762289458939039,464.0
-1.3390890351120046,1.9634954084936203,477.0
-1.3390890351120046,2.050761871093337,460.0
-1.3390890351120046,2.138028333693054,483.0
-1.3390890351120046,2.2252947962927703,478.0
-1.3390890351120046,2.3125612588924866,477.0
-1.3390890351120046,2.399827721492203,448.0
-1.3390890351120046,2.4870941840919194,489.0
-1.3390890351120046,2.574360646691636,440.0
-1.3390890351120046,2.661627109291352,486.0
-1.3390890351120046,2.7488935718910685,475.0
-1.3390890351120046,2.8361600344907854,475.0
-1.3390890351120046,2.923426497090502,467.0
-1.3390890351120046,3.0106929596902186,475.0
-1.3390890351120046,3.097959422289935,531.0
-1.2991206585437602,-3.097959422289935,594.0
-1.2991206585437602,-3.0106929596902186,530.0
-1.2991206585437602,-2.923426497090502,521.0
-1.2991206585437602,-2.8361600344907854,565.0
-1.2991206585437602,-2.748893571891069,551.0
-1.2991206585437602,-2.6616271092913526,544.0
-1.2991206585437602,-2.574360646691636,559.0
-1.2991206585437602,-2.4870941840919194,585.0
-1.2991206585437602,-2.399827721492203,549.0
-1.2991206585437602,-2.3125612588924866,537.0
-1.2991206585437602,-2.2252947962927703,577.0
-1.2991206585437602,-2.138028333693054,550.0
-1.2991206585437602,-2.0507618710933375,555.0
-1.2991206585437602,-1.9634954084936207,537.0
-1.2991206585437602,-1.8762289458939043,513.0
-1.2991206585437602,-1.7889624832941877,568.0
